"label","attractor","state","size","TBET","IFNG","GATA3","IL2","IL4","RORGT","IL6","FOXP3","TGFB","IL10","SOCS1","SOCS2","SOCS3","IFNGe","IL12e","IL2e","IL4e","IL6e","TGFBe","IL10e","TCR"
"Tr",1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"Tr",2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Tex",3,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
"Tex",4,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
"Tex",5,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
"Tex",6,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1
"Tex",7,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"Tex",8,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
"Tex",9,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"Tex",10,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
"Tex",11,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
"Tex",12,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1
"Tex",13,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"Tex",14,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
"Tex",15,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1
"Tex",16,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1
"Tex",17,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
"Tex",18,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
"Tex",19,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
"Tex",20,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1
"Tex",21,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
"Tex",22,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1
"Tex",23,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1
"Tex",24,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1
"Tex",25,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Tex",26,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1
"Tex",27,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
"Tex",28,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
"Tex",29,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
"Tex",30,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
"Tex",31,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
"Tex",32,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1
"Tex",33,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
"Tex",34,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
"Th2R",35,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1
"Th2R",36,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1
"Th2R",37,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1
"Th2R",38,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1
"Th2R",39,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1
"Th2R",40,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
"Th2R",41,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1
"Th2R",42,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1
"Th2R",43,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1
"Th2R",44,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1
"Th2R",45,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1
"Th2R",46,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1
"Th2R",47,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1
"Th2R",48,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1
"Th2R",49,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1
"Th2R",50,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1
"Th2R",51,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1
"Th2R",52,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1
"Th2R",53,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
"Th2R",54,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
"Th2R",55,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"Th2R",56,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
"Th2R",57,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1
"Th2R",58,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1
"Tex",59,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Tex",60,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Tex",61,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"Tex",62,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
"Tex",63,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1
"Tex",64,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
"Tex",65,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
"Tex",66,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
"Tex",67,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
"Tex",68,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1
"Tex",69,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
"Tex",70,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1
"Tex",71,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1
"Tex",72,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
"Tex",73,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1
"Tex",74,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1
"Tex",75,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1
"Tex",76,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1
"Tex",77,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1
"Th2R",78,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
"Th2R",79,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
"Th2R",80,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1
"Th2R",81,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1
"Th2R",82,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1
"Th2R",83,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1
"Th2R",84,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
"Th2R",85,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1
"Th2R",86,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
"Th2R",87,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1
"Th2R",88,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1
"Th2R",89,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1
"Th2R",90,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1
"Th2R",91,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1
"Th2R",92,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1
"Th2R",93,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
"Th2R",94,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1
"Th2R",95,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1
"Th2R",96,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1
"Th2R",97,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1
"Th2R",98,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1
"Th2R",99,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
"Th2R",100,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1
"Th2R",101,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1
"Th2R",102,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1
"Th2R",103,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1
"Th2R",104,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1
"Th2R",105,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1
"Th2R",106,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1
"Th2R",107,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1
"Th2R",108,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1
"Th2R",109,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1
"Th2R",110,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1
"Th2R",111,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1
"Th2R",112,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1
"Th2R",113,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1
"Th2R",114,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1
"Th2R",115,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"Th2R",116,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1
"Th2R",117,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1
"Th2R",118,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1
"Th2R",119,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1
"Th2R",120,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1
"Th2R",121,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1
"Th2R",122,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1
"Th2R",123,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1
"Th2R",124,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1
"Th2R",125,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1
"Th2R",126,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1
"Th2R",127,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
"Th2R",128,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1
"Th2R",129,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1
"Th2R",130,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1
"Th2R",131,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1
"Th2R",132,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1
"Th2R",133,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
"Th2R",134,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1
"Th2R",135,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1
"Th2R",136,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1
"Th2R",137,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1
"Th2R",138,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1
"Th2R",139,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1
"Th2R",140,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1
"Th2R",141,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1
"Th1R",142,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1
"Th1R",143,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1
"Th1R",144,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1
"Th1R",145,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1
"Th1R",146,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1
"Th1R",147,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1
"Th1R",148,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1
"Th1R",149,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1
"Th1R",150,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1
"Th1R",151,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
"Th1R",152,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1
"Th1R",153,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
"Th1R",154,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1
"Th1R",155,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1
"Th1R",156,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1
"Th1R",157,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1
"Th1R",158,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1
"Th1R",159,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1
"Th1R",160,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1
"Th1R",161,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1
"Th1R",162,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1
"Th1R",163,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1
"Th1R",164,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
"Th1R",165,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"Th1R",166,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1
"Th1R",167,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"Th1R",168,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1
"Th1R",169,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1
"Th1R",170,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1
"Th1R",171,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1
"Th1R",172,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1
"Th1R",173,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1
"Th1R",174,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1
"Th1R",175,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1
"Th1R",176,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
"Th1R",177,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1
"Th1R",178,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1
"Th1R",179,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1
"Th1R",180,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1
"Th1R",181,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1
"Th1R",182,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1
"Th1R",183,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1
"Th1R",184,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,1
"Th1R",185,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1
"Th1R",186,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1
"Th1R",187,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1
"Th1R",188,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1
"Th1R",189,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1
"Th1R",190,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1
"Th1R",191,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
"Th1R",192,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1
"Th1R",193,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"Th1R",194,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1
"Th1R",195,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1
"Th1R",196,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1
"Th1R",197,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1
"Th1R",198,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1
"Th1R",199,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1
"Th1R",200,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1
"Th1R",201,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1
"Th1R",202,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1
"Th1R",203,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1
"Th1R",204,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1
"Th1R",205,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1
"Th1R",206,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1
"Th1R",207,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
