"","WT","TBET_0","IFNG_0","GATA3_0","IL2_0","IL4_0","RORGT_0","IL6_0","FOXP3_0","TGFB_0","IL10_0","SOCS1_0","SOCS2_0","SOCS3_0","IFNGe_0","IL12e_0","IL2e_0","IL4e_0","IL6e_0","TGFBe_0","IL10e_0","TCR_0","TBET_1","IFNG_1","GATA3_1","IL2_1","IL4_1","RORGT_1","IL6_1","FOXP3_1","TGFB_1","IL10_1","SOCS1_1","SOCS2_1","SOCS3_1","IFNGe_1","IL12e_1","IL2e_1","IL4e_1","IL6e_1","TGFBe_1","IL10e_1","TCR_1","SOCSall_0","SOCSall_1"
"Naive",8192,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,4096,8192,16384,32768,65536,131072,262144,524288,1048576,NA,524288,NA,524288,524288,NA,524288,NA,NA,NA,524288,524288,524288,524288,524288,524288,524288,524288,524288,524288,NA,1024,1024
"NoLabel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tex",616,1856,2696,320,64,340,308,168,584,392,352,NA,308,984,1414,4644,6674,15906,28869,88661,88661,NA,569593,5232,561166,37024,43888,586712,65536,NA,NA,NA,60928,44508,46464,26850,45446,42095,41727,59792,NA,NA,88661,200,312
"Tex/Th17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tex/Th17/Tex/Tex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tex/Th17/Th17/Tex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TexTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Th1",3140,NA,NA,1600,1940,1538,1444,520,1596,2400,2400,1720,1570,708,3618,3606,10364,17709,32388,49296,49296,NA,32487,40336,NA,12480,NA,NA,NA,NA,NA,NA,13120,25826,11680,33838,31850,20252,21987,16908,NA,NA,49296,188,160
"Th17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33766,NA,NA,NA,NA,NA,NA,42198,24320,NA,31408,NA,21504,17661,NA,10016,16948,8586,16818,32352,33766,NA,33766,NA,NA
"Th17/Th17/Th17/Tex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Th17RTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Th1R",3996,NA,840,2044,1892,2020,2104,2928,1718,1216,1344,2216,1998,1660,2152,5040,11188,22034,39030,69402,189112,NA,446496,432752,NA,181888,NA,NA,NA,222372,198220,186576,164416,190430,151744,292484,228540,180654,164550,172112,212802,188456,377568,452,376
"Th1RTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Th1RTh17RTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Th2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,538,1537,9047,16635,16635,NA,NA,NA,12690,15648,28992,NA,NA,NA,NA,NA,6912,7058,9440,4304,NA,12005,13582,7588,NA,NA,16635,NA,NA
"Th2R",44,44,56,NA,20,22,24,48,44,88,NA,16,22,8,56,100,200,400,800,1504,1504,NA,NA,NA,474720,18336,26220,NA,NA,NA,NA,17978,9344,9172,11392,6154,2608,12715,14292,9572,NA,17955,19459,NA,8
"Th2RTh17RTex",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tr",396,2196,504,132,180,176,216,432,154,NA,NA,144,198,736,952,2456,3804,4534,11955,20031,78242,NA,NA,15696,NA,43392,296964,NA,434432,NA,699832,762342,190816,163109,196388,94852,147984,96863,161892,154148,164458,233831,312073,184,168
"Treg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3416,8983,16615,67072,NA,NA,30272,NA,215520,128224,NA,NA,277550,119116,81680,57248,66524,97180,55790,50912,151118,89440,71816,113262,84046,151118,NA,NA
